sofascore_slug,transfermarkt_url,player_name,season,league,position_label,heatmap_filename,General_MP,General_MIN,General_GLS,General_AST,General_ASR,Shooting_MP,Shooting_GLS,Shooting_TOS,Shooting_SOT,Shooting_BCM,Team play_MP,Team play_AST,Team play_KEYP,Team play_BCC,Team play_SDR,Passing_MP,Passing_APS,Passing_APS%,Passing_ALB,Passing_LBA%,Passing_ACR,Passing_CA%,Defending_MP,Defending_CLS,Defending_YC,Defending_RC,Defending_ELTG,Defending_DRP,Defending_TACK,Defending_INT,Defending_BLS,Defending_ADW,Additional_MP,Additional_GLS,Additional_xG,Additional_AST,Additional_xA,Additional_GI,Additional_xGI
leo-baptistao/252857,https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,Leo Baptistao,22/23,LaLiga,Right Winger,leo-baptistao_252857_22-23_LaLiga.png,28,1743,5,2,6.75,28,5,45,16,5,28,2,18,1,14,28,347,67.9,20,40.8,5,27.8,28,0,7,0,0,20,32,19,2,27,28,5,4.94,2,0.93,7,5.87
leo-baptistao/252857,https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,Leo Baptistao,18/19,LaLiga,Right Winger,leo-baptistao_252857_18-19_LaLiga.png,20,1236,2,1,6.86,20,2,42,16,6,20,1,18,1,21,20,271,73.4,8,44.4,0,,20,1,3,0,0,19,22,8,,14,20,2,,1,,3,
leo-baptistao/252857,https://www.transfermarkt.com/leo-baptistao/profil/spieler/221899,Leo Baptistao,17/18,LaLiga,Right Winger,leo-baptistao_252857_17-18_LaLiga.png,36,2686,8,3,6.80,36,8,79,28,14,36,3,25,3,30,36,463,67.4,8,30.8,5,14.7,36,3,4,0,0,39,54,23,1,48,36,8,,3,,11,
leo-bengtsson/860157,https://www.transfermarkt.com/leo-bengtsson/profil/spieler/323325,Leo Bengtsson,24/25,Cyprus League,Left Winger,leo-bengtsson_860157_24-25_CyprusLeaguebyStoiximan.png,32,2213,6,1,6.96,32,6,63,20,7,32,1,25,0,90,32,415,70.5,31,47.0,16,35.6,32,0,9,0,0,27,2,15,0,14,32,6,8.01,1,3.04,7,11.05
leo-bolgado/1095918,https://www.transfermarkt.com/leo-bolgado/profil/spieler/712087,Leo Bolgado,23/24,Liga Portugal 2,Centre-Back,leo-bolgado_1095918_23-24_LigaPortugal2.png,32,2880,2,1,7.03,32,2,22,5,0,32,1,4,1,6,32,1245,77.4,149,46.4,0,,32,10,9,0,0,15,51,23,22,142,32,2,,1,,3,
leo-borges/1066687,https://www.transfermarkt.com/leo-borges/profil/spieler/681692,Leo Borges,24/25,Ekstraklasa,Centre-Back,leo-borges_1066687_24-25_Ekstraklasa.png,30,2435,1,2,7.15,30,1,25,7,1,30,2,11,2,12,30,1573,85.8,131,52.0,10,35.7,30,12,7,1,0,15,47,41,21,45,30,1,,2,,3,
leo-duarte/839982,https://www.transfermarkt.com/leo-duarte/profil/spieler/312678,Leo Duarte,24/25,Süper Lig,Centre-Back,leo-duarte_839982_24-25_TrendyolSperLig.png,29,2476,2,0,6.94,29,2,15,4,0,29,0,6,0,4,29,1170,86.6,64,50.4,2,18.2,29,7,1,0,1,13,42,20,16,77,29,2,0.98,0,0.39,2,1.37
leo-duarte/839982,https://www.transfermarkt.com/leo-duarte/profil/spieler/312678,Leo Duarte,23/24,Süper Lig,Centre-Back,leo-duarte_839982_23-24_TrendyolSperLig.png,30,2700,0,1,7.12,30,0,11,4,2,30,1,16,1,18,30,1634,89.1,74,51.4,1,8.3,30,9,1,0,0,13,43,33,31,97,30,0,0.95,1,0.79,1,1.74
leo-duarte/839982,https://www.transfermarkt.com/leo-duarte/profil/spieler/312678,Leo Duarte,22/23,Süper Lig,Centre-Back,leo-duarte_839982_22-23_TrendyolSperLig.png,30,2512,0,1,7.08,30,0,15,8,3,30,1,6,0,10,30,1660,90.1,84,53.2,0,,30,10,3,0,0,13,56,29,26,62,30,0,,1,,1,
leo-duarte/839982,https://www.transfermarkt.com/leo-duarte/profil/spieler/312678,Leo Duarte,21/22,Süper Lig,Centre-Back,leo-duarte_839982_21-22_TrendyolSperLig.png,33,2874,0,0,6.99,33,0,17,4,2,33,0,3,0,9,33,2066,92.5,74,49.3,0,,33,10,6,1,0,9,38,28,19,52,33,0,,0,,0,
leo-duarte/839982,https://www.transfermarkt.com/leo-duarte/profil/spieler/312678,Leo Duarte,20/21,Süper Lig,Centre-Back,leo-duarte_839982_20-21_TrendyolSperLig.png,17,1290,0,0,6.74,17,0,6,2,1,17,0,3,0,4,17,817,90.8,21,35.0,0,,17,3,3,0,0,3,11,18,7,22,17,0,,0,,0,
leo-petrot/827504,https://www.transfermarkt.com/leo-petrot/profil/spieler/412829,Leo Petrot,21/22,Ligue 1,Centre-Back,leo-petrot_827504_21-22_Ligue1.png,22,1819,1,0,6.83,22,1,5,3,0,22,0,2,0,1,22,784,82.9,71,45.5,0,,22,5,0,0,0,8,31,22,17,29,22,1,,0,,1,
leo-petrot/827504,https://www.transfermarkt.com/leo-petrot/profil/spieler/412829,Leo Petrot,24/25,Ligue 1,Left-Back,leo-petrot_827504_24-25_Ligue1.png,31,2617,0,3,6.83,31,0,7,3,1,31,3,16,3,7,31,945,81.1,35,31.5,13,25.5,31,4,4,0,0,18,67,42,27,46,31,0,0.56,3,1.52,3,2.07
leo-stulac/142860,https://www.transfermarkt.com/leo-stulac/profil/spieler/171159,Leo Stulac,20/21,Serie B,Defensive Midfield,leo-stulac_142860_20-21_SerieB.png,36,3120,3,7,7.48,36,3,63,17,0,36,7,76,5,18,36,1664,85.2,149,60.1,73,28.4,36,7,4,0,0,17,62,37,6,25,36,3,,7,,10,
leo-stulac/142860,https://www.transfermarkt.com/leo-stulac/profil/spieler/171159,Leo Stulac,19/20,Serie B,Defensive Midfield,leo-stulac_142860_19-20_SerieB.png,24,1511,2,0,6.94,24,2,28,4,0,24,0,21,0,12,24,902,89.2,63,61.2,7,16.3,24,2,1,0,0,23,28,24,3,21,24,2,,0,,2,
leon-bailey/808590,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626,Leon Bailey,20/21,Bundesliga,Right Winger,leon-bailey_808590_20-21_Bundesliga.png,30,2151,9,8,7.30,30,9,58,21,4,30,8,48,8,74,30,608,78.1,47,70.1,39,25.2,30,2,6,0,0,11,14,9,,18,30,9,,8,,17,
leon-bailey/808590,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626,Leon Bailey,18/19,Bundesliga,Left Winger,leon-bailey_808590_18-19_Bundesliga.png,29,1920,5,1,7.11,29,5,56,17,3,29,1,47,6,53,29,566,74.4,22,44.0,37,22.7,29,1,4,0,0,14,15,14,,13,29,5,,1,,6,
leon-bailey/808590,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626,Leon Bailey,17/18,Bundesliga,Left Winger,leon-bailey_808590_17-18_Bundesliga.png,30,2220,9,6,7.29,30,9,76,28,6,30,6,61,9,57,30,634,75.0,49,64.5,70,35.7,30,4,2,0,0,5,16,15,,26,30,9,,6,,15,
leon-balogun/37234,https://www.transfermarkt.com/leon-balogun/profil/spieler/56100,Leon Balogun,17/18,Bundesliga,Centre-Back,leon-balogun_37234_17-18_Bundesliga.png,14,1174,0,0,6.70,14,0,2,1,0,14,0,1,0,10,14,357,75.2,28,37.8,1,50.0,14,2,5,1,0,9,39,32,9,43,14,0,,0,,0,
leon-balogun/37234,https://www.transfermarkt.com/leon-balogun/profil/spieler/56100,Leon Balogun,15/16,Bundesliga,Centre-Back,leon-balogun_37234_15-16_Bundesliga.png,21,1511,1,0,7.10,21,1,12,1,0,21,0,6,1,10,21,496,75.6,46,43.0,1,20.0,21,4,4,0,0,11,43,58,13,71,21,1,,0,,1,
leon-klassen/879504,https://www.transfermarkt.com/leon-klassen/profil/spieler/441987,Leon Klassen,21/22,Bundesliga,Left-Back,leon-klassen_879504_21-22_AustrianBundesliga.png,17,1369,0,6,7.14,17,0,13,5,2,17,0,13,5,2,17,488,70.2,75,46.0,22,24.2,17,1,3,0,0,12,39,20,7,12,17,0,,6,,6,
leonardo-balerdi/928236,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,Leonardo Balerdi,24/25,Ligue 1,Centre-Back,leonardo-balerdi_928236_24-25_Ligue1.png,27,2276,0,0,6.92,27,0,15,2,2,27,0,8,1,22,27,2359,94.0,73,57.0,0,,27,4,8,1,2,20,54,38,14,40,27,0,0.91,0,0.81,0,1.72
leonardo-balerdi/928236,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,Leonardo Balerdi,23/24,Ligue 1,Centre-Back,leonardo-balerdi_928236_23-24_Ligue1.png,27,2275,2,0,7.14,27,2,14,4,3,27,0,5,0,9,27,1399,86.5,101,50.5,0,,27,3,5,1,0,18,79,51,15,58,27,2,0.85,0,0.54,2,1.40
leonardo-balerdi/928236,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,Leonardo Balerdi,22/23,Ligue 1,Centre-Back,leonardo-balerdi_928236_22-23_Ligue1.png,35,2642,0,1,6.93,35,0,11,0,2,35,1,5,0,9,35,1382,84.1,109,52.4,1,16.7,35,7,9,1,1,13,57,63,29,70,35,0,1.28,1,0.40,1,1.68
leonardo-balerdi/928236,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,Leonardo Balerdi,20/21,Ligue 1,Centre-Back,leonardo-balerdi_928236_20-21_Ligue1.png,21,1640,2,0,6.69,21,2,13,4,7,21,0,1,0,10,21,909,87.0,53,50.5,0,,21,4,6,1,2,17,29,28,9,35,21,2,,0,,2,
leonardo-mancuso/250931,https://www.transfermarkt.com/leonardo-mancuso/profil/spieler/160344,Leonardo Mancuso,22/23,Serie B,Centre-Forward,leonardo-mancuso_250931_22-23_SerieB.png,32,1583,6,3,6.78,32,6,39,15,4,32,3,20,3,8,32,194,71.9,12,70.6,1,11.1,32,0,4,0,0,12,11,3,,23,32,6,,3,,9,
leonardo-mancuso/250931,https://www.transfermarkt.com/leonardo-mancuso/profil/spieler/160344,Leonardo Mancuso,20/21,Serie B,Centre-Forward,leonardo-mancuso_250931_20-21_SerieB.png,37,2677,20,4,7.13,37,20,106,42,9,37,4,45,6,18,37,449,73.8,18,69.2,7,19.4,37,2,6,0,0,15,7,7,1,41,37,20,,4,,24,
leonardo-mancuso/250931,https://www.transfermarkt.com/leonardo-mancuso/profil/spieler/160344,Leonardo Mancuso,19/20,Serie B,Centre-Forward,leonardo-mancuso_250931_19-20_SerieB.png,39,2679,13,5,6.85,39,13,77,31,16,39,5,30,5,10,39,366,73.9,17,77.3,1,6.3,39,1,0,0,0,10,8,7,4,45,39,13,,5,,18,
leonardo-mancuso/250931,https://www.transfermarkt.com/leonardo-mancuso/profil/spieler/160344,Leonardo Mancuso,24/25,Serie B,Attacking Midfield,leonardo-mancuso_250931_24-25_SerieB.png,38,2293,10,1,6.84,38,10,73,23,4,38,1,23,2,7,38,353,74.9,9,60.0,4,25.0,38,0,3,0,0,11,11,5,4,34,38,10,,1,,11,
leroy-sane/293519,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565,Leroy Sane,24/25,Bundesliga,Left Winger,leroy-sane_293519_24-25_Bundesliga.png,30,1633,11,5,7.18,30,11,67,30,14,30,5,37,10,39,30,733,86.4,8,88.9,10,19.6,30,1,2,0,0,11,23,7,,7,30,11,10.23,5,6.12,16,16.36
leroy-sane/293519,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565,Leroy Sane,23/24,Bundesliga,Right Winger,leroy-sane_293519_23-24_Bundesliga.png,27,2142,8,11,7.65,27,8,73,28,8,27,11,73,16,93,27,841,84.4,22,75.9,27,31.4,27,7,4,0,0,15,15,7,,3,27,8,10.94,11,9.52,19,20.46
leroy-sane/293519,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565,Leroy Sane,20/21,Bundesliga,Right Winger,leroy-sane_293519_20-21_Bundesliga.png,32,1802,6,9,6.92,32,6,57,21,4,32,9,33,11,61,32,573,78.3,22,61.1,16,21.3,32,0,2,0,1,17,18,9,1,8,32,6,,9,,15,
leroy-sane/293519,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565,Leroy Sane,15/16,Bundesliga,Right Winger,leroy-sane_293519_15-16_Bundesliga.png,33,2312,8,6,6.78,33,8,68,28,5,33,6,28,7,91,33,480,77.5,15,71.4,0,,33,1,4,0,0,37,59,28,1,30,33,8,,6,,14,
lewie-coyle/827587,https://www.transfermarkt.com/lewie-coyle/profil/spieler/413402,Lewie Coyle,24/25,Championship,Right-Back,lewie-coyle_827587_24-25_Championship.png,44,3722,1,2,7.09,44,1,31,6,1,44,2,35,7,20,44,1575,82.1,83,39.2,49,29.5,44,4,6,0,0,34,98,26,20,52,44,1,1.00,2,5.49,3,6.49
lewie-coyle/827587,https://www.transfermarkt.com/lewie-coyle/profil/spieler/413402,Lewie Coyle,23/24,Championship,Right-Back,lewie-coyle_827587_23-24_Championship.png,40,3101,1,1,6.92,40,1,23,5,0,40,1,24,2,11,40,1523,82.4,98,42.8,13,12.9,40,8,4,0,0,12,39,41,18,46,40,1,0.88,1,1.92,2,2.80
lewie-coyle/827587,https://www.transfermarkt.com/lewie-coyle/profil/spieler/413402,Lewie Coyle,22/23,Championship,Right-Back,lewie-coyle_827587_22-23_Championship.png,41,2441,0,2,6.73,41,0,17,2,0,41,2,24,6,10,41,884,74.0,55,31.1,27,33.8,41,7,5,0,0,23,51,20,13,36,41,0,,2,,2,
lewie-coyle/827587,https://www.transfermarkt.com/lewie-coyle/profil/spieler/413402,Lewie Coyle,21/22,Championship,Right-Back,lewie-coyle_827587_21-22_Championship.png,23,1767,1,1,6.91,23,1,17,4,0,23,1,19,2,12,23,580,73.4,54,37.0,16,24.6,23,2,1,1,0,8,38,22,11,25,23,1,,1,,2,
lewis-baker/190859,https://www.transfermarkt.com/lewis-baker/profil/spieler/198589,Lewis Baker,22/23,Championship,Central Midfield,lewis-baker_190859_22-23_Championship.png,44,2776,7,5,6.94,44,7,61,26,2,44,5,34,3,12,44,868,83.4,44,43.1,52,32.1,44,8,6,0,0,24,30,22,16,19,44,7,,5,,12,
lewis-baker/190859,https://www.transfermarkt.com/lewis-baker/profil/spieler/198589,Lewis Baker,21/22,Championship,Central Midfield,lewis-baker_190859_21-22_Championship.png,21,1798,8,2,7.20,21,8,34,12,2,21,2,35,1,12,21,688,84.0,27,39.1,34,39.1,21,4,1,0,0,25,30,16,4,5,21,8,,2,,10,
lewis-baker/190859,https://www.transfermarkt.com/lewis-baker/profil/spieler/198589,Lewis Baker,22/23,Championship,Defensive Midfield,lewis-baker_190859_22-23_Championship.png,44,2776,7,5,6.94,44,7,61,26,2,44,5,34,3,12,44,868,83.4,44,43.1,52,32.1,44,8,6,0,0,24,30,22,16,19,44,7,,5,,12,
liam-donnelly/191252,https://www.transfermarkt.com/liam-donnelly/profil/spieler/211121,Liam Donnelly,22/23,Premiership,Defensive Midfield,liam-donnelly_191252_22-23_ScottishPremiership.png,22,1495,2,0,6.91,22,2,21,5,0,22,0,4,0,7,22,371,70.9,53,47.7,0,,22,3,8,0,0,16,54,19,7,39,22,2,,0,,2,
liam-gordon/339605,https://www.transfermarkt.com/liam-gordon/profil/spieler/238029,Liam Gordon,24/25,Premiership,Centre-Back,liam-gordon_339605_24-25_ScottishPremiership.png,27,2317,1,1,6.93,27,1,17,7,1,27,1,5,1,1,27,602,73.5,74,40.4,0,,27,3,3,1,0,7,27,28,19,138,27,1,,1,,2,
liam-gordon/339605,https://www.transfermarkt.com/liam-gordon/profil/spieler/238029,Liam Gordon,23/24,Premiership,Centre-Back,liam-gordon_339605_23-24_ScottishPremiership.png,32,2650,0,0,6.89,32,0,28,2,2,32,0,9,1,2,32,532,62.3,61,31.4,0,,32,6,3,1,0,8,42,36,30,186,32,0,,0,,0,
liam-gordon/339605,https://www.transfermarkt.com/liam-gordon/profil/spieler/238029,Liam Gordon,22/23,Premiership,Centre-Back,liam-gordon_339605_22-23_ScottishPremiership.png,32,2641,2,1,6.82,32,2,19,6,1,32,1,5,0,5,32,527,57.6,67,27.1,0,,32,6,7,0,0,4,41,54,15,165,32,2,,1,,3,
liam-gordon/339605,https://www.transfermarkt.com/liam-gordon/profil/spieler/238029,Liam Gordon,21/22,Premiership,Centre-Back,liam-gordon_339605_21-22_ScottishPremiership.png,31,2685,1,0,6.90,31,1,14,3,0,31,0,3,1,2,31,584,62.9,72,29.3,1,100.0,31,8,10,0,0,8,48,59,18,143,31,1,,0,,1,
liam-gordon/339605,https://www.transfermarkt.com/liam-gordon/profil/spieler/238029,Liam Gordon,20/21,Premiership,Centre-Back,liam-gordon_339605_20-21_ScottishPremiership.png,36,3156,1,1,6.86,36,1,15,5,1,36,1,9,2,4,36,714,63.2,129,39.3,0,,36,10,5,0,0,16,46,63,19,188,36,1,,1,,2,
liam-kitching/921006,https://www.transfermarkt.com/liam-kitching/profil/spieler/534701,Liam Kitching,25/26,Championship,Centre-Back,liam-kitching_921006_25-26_Championship.png,15,1313,0,0,7.11,15,0,13,4,1,15,0,6,0,4,15,578,82.2,39,40.6,1,20.0,15,6,4,0,1,3,18,14,14,46,15,0,1.34,0,0.45,0,1.78
liam-kitching/921006,https://www.transfermarkt.com/liam-kitching/profil/spieler/534701,Liam Kitching,24/25,Championship,Centre-Back,liam-kitching_921006_24-25_Championship.png,29,2494,0,1,7.00,29,0,16,4,4,29,1,15,1,4,29,1189,81.8,77,37.6,2,33.3,29,7,8,0,1,12,37,20,25,86,29,0,1.51,1,1.27,1,2.78
liam-kitching/921006,https://www.transfermarkt.com/liam-kitching/profil/spieler/534701,Liam Kitching,23/24,Championship,Centre-Back,liam-kitching_921006_23-24_Championship.png,28,2236,1,1,6.86,28,1,10,4,3,28,1,5,3,2,28,1249,83.3,82,42.7,1,25.0,28,6,4,3,1,18,32,35,20,54,28,1,0.93,1,0.81,2,1.75
liam-kitching/921006,https://www.transfermarkt.com/liam-kitching/profil/spieler/534701,Liam Kitching,21/22,Championship,Centre-Back,liam-kitching_921006_21-22_Championship.png,32,2631,0,1,6.61,32,0,17,3,1,32,1,15,0,9,32,716,60.8,92,29.3,2,9.5,32,3,7,0,0,22,50,42,17,84,32,0,,1,,1,
liam-palmer/104857,https://www.transfermarkt.com/liam-palmer/profil/spieler/137149,Liam Palmer,20/21,Championship,Right-Back,liam-palmer_104857_20-21_Championship.png,39,2969,1,2,6.76,39,1,15,4,3,39,2,21,1,12,39,680,66.1,69,27.8,16,25.8,39,9,5,0,0,16,50,45,16,21,39,1,,2,,3,
liam-palmer/104857,https://www.transfermarkt.com/liam-palmer/profil/spieler/137149,Liam Palmer,19/20,Championship,Right-Back,liam-palmer_104857_19-20_Championship.png,33,2880,0,1,6.68,33,0,11,4,1,33,1,18,2,4,33,704,70.1,94,35.3,8,17.0,33,9,2,1,0,16,53,53,9,21,33,0,,1,,1,
liam-palmer/104857,https://www.transfermarkt.com/liam-palmer/profil/spieler/137149,Liam Palmer,18/19,Championship,Right-Back,liam-palmer_104857_18-19_Championship.png,35,3091,0,0,6.69,35,0,14,1,2,35,0,24,2,13,35,717,65.4,74,26.9,16,22.5,35,11,4,0,0,14,72,38,9,32,35,0,,0,,0,
liam-palmer/104857,https://www.transfermarkt.com/liam-palmer/profil/spieler/137149,Liam Palmer,17/18,Championship,Right-Back,liam-palmer_104857_17-18_Championship.png,25,1592,0,2,6.70,25,0,11,2,1,25,2,23,0,17,25,468,70.5,38,27.1,19,24.4,25,5,4,0,0,21,31,22,3,7,25,0,,2,,2,
liam-palmer/104857,https://www.transfermarkt.com/liam-palmer/profil/spieler/137149,Liam Palmer,16/17,Championship,Right-Back,liam-palmer_104857_16-17_Championship.png,21,1472,0,0,6.68,21,0,7,2,2,21,0,11,1,6,21,437,73.7,31,27.0,17,34.0,21,5,3,0,0,7,23,22,,10,21,0,,0,,0,
liam-palmer/104857,https://www.transfermarkt.com/liam-palmer/profil/spieler/137149,Liam Palmer,15/16,Championship,Right-Back,,13,1088,0,0,6.67,13,0,3,0,0,13,0,5,0,4,13,338,71.2,28,28.3,8,20.0,13,6,1,0,0,7,13,19,5,12,13,0,,0,,0,
liam-polworth/134213,https://www.transfermarkt.com/liam-polworth/profil/spieler/132209,Liam Polworth,23/24,Premiership,Central Midfield,liam-polworth_134213_23-24_ScottishPremiership.png,28,1845,0,3,6.86,28,0,15,5,1,28,3,31,5,13,28,730,81.5,74,56.9,31,47.0,28,0,2,0,0,16,21,6,3,10,28,0,,3,,3,
liam-polworth/134213,https://www.transfermarkt.com/liam-polworth/profil/spieler/132209,Liam Polworth,22/23,Premiership,Central Midfield,liam-polworth_134213_22-23_ScottishPremiership.png,26,1741,1,2,6.99,26,1,20,8,0,26,2,29,4,17,26,659,81.1,81,60.9,13,23.2,26,2,1,0,0,11,36,17,4,7,26,1,,2,,3,
liam-polworth/134213,https://www.transfermarkt.com/liam-polworth/profil/spieler/132209,Liam Polworth,19/20,Premiership,Central Midfield,liam-polworth_134213_19-20_ScottishPremiership.png,22,1761,0,7,7.09,22,0,28,10,4,22,7,48,5,17,22,617,82.5,53,56.4,32,35.6,22,6,2,0,0,23,22,7,2,10,22,0,,7,,7,
liberato-cacace/905264,https://www.transfermarkt.com/liberato-cacace/profil/spieler/469211,Liberato Cacace,23/24,Serie A,Left-Back,liberato-cacace_905264_23-24_SerieA.png,31,1916,0,1,6.68,31,0,13,2,1,31,1,21,5,23,31,644,77.5,45,35.4,15,22.1,31,3,6,0,0,14,40,19,6,17,31,0,0.42,1,1.38,1,1.80
liberato-cacace/905264,https://www.transfermarkt.com/liberato-cacace/profil/spieler/469211,Liberato Cacace,19/20,A-League,Left-Back,liberato-cacace_905264_19-20_ALeagueMen.png,25,2240,3,1,7.06,25,3,28,10,1,25,1,32,5,57,25,1085,84.0,42,40.8,13,20.0,25,5,4,1,0,24,55,26,8,28,25,3,,1,,4,
liberato-cacace/905264,https://www.transfermarkt.com/liberato-cacace/profil/spieler/469211,Liberato Cacace,18/19,A-League,Left Midfield,liberato-cacace_905264_18-19_ALeagueMen.png,26,2318,1,2,6.76,26,1,20,6,2,26,2,20,4,26,26,740,73.3,18,24.0,3,4.7,26,4,4,0,0,24,67,32,14,45,26,1,,2,,3,
libor-holik/825724,https://www.transfermarkt.com/libor-holik/profil/spieler/323903,Libor Holik,24/25,Niké Liga,Right-Back,libor-holik_825724_24-25_NikLiga.png,32,2672,0,3,6.91,32,0,16,4,3,32,3,35,8,33,32,519,69.3,34,29.1,41,26.1,32,9,2,0,1,35,71,23,12,24,32,0,,3,,3,
liel-abada/965253,https://www.transfermarkt.com/liel-abada/profil/spieler/519514,Liel Abada,22/23,Premiership,Right Winger,liel-abada_965253_22-23_ScottishPremiership.png,34,1461,10,5,7.01,34,10,53,25,9,34,5,38,10,19,34,497,81.6,9,69.2,8,13.8,34,0,2,0,0,7,14,3,2,2,34,10,,5,,15,
liel-abada/965253,https://www.transfermarkt.com/liel-abada/profil/spieler/519514,Liel Abada,21/22,Premiership,Right Winger,liel-abada_965253_21-22_ScottishPremiership.png,36,2185,10,6,6.97,36,10,81,33,17,36,6,50,13,22,36,627,83.4,6,54.5,21,18.8,36,7,1,0,0,11,13,12,,9,36,10,,6,,16,
lilian-brassier/988907,https://www.transfermarkt.com/lilian-brassier/profil/spieler/485960,Lilian Brassier,24/25,Ligue 1,Centre-Back,lilian-brassier_988907_24-25_Ligue1.png,26,2024,1,1,6.89,26,1,19,3,4,26,1,7,1,3,26,1326,86.9,60,44.1,1,7.1,26,5,4,0,2,3,23,31,13,48,26,1,1.75,1,0.53,2,2.28
